id,title,difficulty,tags,simlilar_questions
1,Two Sum,1,Array|Hash Table,3Sum|4Sum|Two Sum II - Input array is sorted|Two Sum III - Data structure design|Subarray Sum Equals K|Two Sum IV - Input is a BST
2,Add Two Numbers,2,Linked List|Math,Multiply Strings|Add Binary|Sum of Two Integers|Add Strings|Add Two Numbers II
3,Longest Substring Without Repeating Characters,2,Hash Table|Two Pointers|String,Longest Substring with At Most Two Distinct Characters
4,Median of Two Sorted Arrays,3,Binary Search|Array|Divide and Conquer,""
5,Longest Palindromic Substring,2,String,Shortest Palindrome|Palindrome Permutation|Palindrome Pairs|Longest Palindromic Subsequence|Palindromic Substrings
6,ZigZag Conversion,2,String,""
7,Reverse Integer,1,Math,String to Integer (atoi)
8,String to Integer (atoi),2,Math|String,Reverse Integer|Valid Number
9,Palindrome Number,1,Math,Palindrome Linked List
10,Regular Expression Matching,3,Dynamic Programming|Backtracking|String,Wildcard Matching
11,Container With Most Water,2,Array|Two Pointers,Trapping Rain Water
12,Integer to Roman,2,Math|String,Roman to Integer|Integer to English Words
13,Roman to Integer,1,Math|String,Integer to Roman
14,Longest Common Prefix,1,String,""
17,Letter Combinations of a Phone Number,2,Backtracking|String,Generate Parentheses|Combination Sum|Binary Watch
19,Remove Nth Node From End of List,2,Linked List|Two Pointers,""
20,Valid Parentheses,1,Stack|String,Generate Parentheses|Longest Valid Parentheses|Remove Invalid Parentheses
21,Merge Two Sorted Lists,1,Linked List,Merge k Sorted Lists|Merge Sorted Array|Sort List|Shortest Word Distance II
22,Generate Parentheses,2,Backtracking|String,Letter Combinations of a Phone Number|Valid Parentheses
23,Merge k Sorted Lists,3,Divide and Conquer|Linked List|Heap,Merge Two Sorted Lists|Ugly Number II
24,Swap Nodes in Pairs,2,Linked List,Reverse Nodes in k-Group
25,Reverse Nodes in k-Group,3,Linked List,Swap Nodes in Pairs
26,Remove Duplicates from Sorted Array,1,Array|Two Pointers,Remove Element
27,Remove Element,1,Array|Two Pointers,Remove Duplicates from Sorted Array|Remove Linked List Elements|Move Zeroes
28,Implement strStr(),1,Two Pointers|String,Shortest Palindrome|Repeated Substring Pattern
29,Divide Two Integers,2,Math|Binary Search,""
30,Substring with Concatenation of All Words,3,Hash Table|Two Pointers|String,Minimum Window Substring
31,Next Permutation,2,Array,Permutations|Permutations II|Permutation Sequence|Palindrome Permutation II
32,Longest Valid Parentheses,3,Dynamic Programming|String,Valid Parentheses
33,Search in Rotated Sorted Array,2,Binary Search|Array,Search in Rotated Sorted Array II|Find Minimum in Rotated Sorted Array
34,Search for a Range,2,Binary Search|Array,First Bad Version
35,Search Insert Position,1,Array|Binary Search,First Bad Version
36,Valid Sudoku,2,Hash Table,Sudoku Solver
37,Sudoku Solver,3,Backtracking|Hash Table,Valid Sudoku
38,Count and Say,1,String,Encode and Decode Strings
39,Combination Sum,2,Array|Backtracking,Letter Combinations of a Phone Number|Combination Sum II|Combinations|Combination Sum III|Factor Combinations|Combination Sum IV
40,Combination Sum II,2,Array|Backtracking,Combination Sum
41,First Missing Positive,3,Array,Missing Number|Find the Duplicate Number|Find All Numbers Disappeared in an Array
42,Trapping Rain Water,3,Array|Stack|Two Pointers,Container With Most Water|Product of Array Except Self|Trapping Rain Water II
43,Multiply Strings,2,Math|String,Add Two Numbers|Plus One|Add Binary|Add Strings
44,Wildcard Matching,3,Dynamic Programming|Backtracking|Greedy|String,Regular Expression Matching
45,Jump Game II,3,Array|Greedy,""
46,Permutations,2,Backtracking,Next Permutation|Permutations II|Permutation Sequence|Combinations
47,Permutations II,2,Backtracking,Next Permutation|Permutations|Palindrome Permutation II
48,Rotate Image,2,Array,""
49,Group Anagrams,2,Hash Table|String,Valid Anagram|Group Shifted Strings
50,"Pow(x, n)",2,Binary Search|Math,Sqrt(x)|Super Pow
51,N-Queens,3,Backtracking,N-Queens II
52,N-Queens II,3,Backtracking,N-Queens
53,Maximum Subarray,1,Array|Dynamic Programming|Divide and Conquer,Best Time to Buy and Sell Stock|Maximum Product Subarray
54,Spiral Matrix,2,Array,Spiral Matrix II
55,Jump Game,2,Array|Greedy,""
56,Merge Intervals,2,Array|Sort,Insert Interval|Meeting Rooms|Meeting Rooms II|Teemo Attacking|Add Bold Tag in String
57,Insert Interval,3,Array|Sort,Merge Intervals
58,Length of Last Word,1,String,""
59,Spiral Matrix II,2,Array,Spiral Matrix
60,Permutation Sequence,2,Backtracking|Math,Next Permutation|Permutations
61,Rotate List,2,Linked List|Two Pointers,Rotate Array
62,Unique Paths,2,Array|Dynamic Programming,Unique Paths II|Minimum Path Sum|Dungeon Game
63,Unique Paths II,2,Array|Dynamic Programming,Unique Paths
64,Minimum Path Sum,2,Array|Dynamic Programming,Unique Paths|Dungeon Game
65,Valid Number,3,Math|String,String to Integer (atoi)
66,Plus One,1,Array|Math,Multiply Strings|Add Binary|Plus One Linked List
67,Add Binary,1,Math|String,Add Two Numbers|Multiply Strings|Plus One
68,Text Justification,3,String,""
